id	msa	dialect	english
01	ما اسمك؟	وش اسمك؟	What is your name?
02	أين تسكن؟	وين تسكن؟	Where do you live?
03	أريد أن أذهب إلى المطار.	أبغى أروح المطار.	I want to go to the airport.
04	كم سعر هذا الجهاز؟	بكم هذا الجهاز؟	How much is this device?
05	لم أفهم السؤال.	ما فهمت السؤال.	I did not understand the question.
06	سوف نبدأ الدرس بعد قليل.	بنبدأ الدرس بعد شوي.	We will start the lesson shortly.
07	هل يمكنك مساعدتي؟	تقدر تساعدني؟	Can you help me?
08	الطريق مزدحم هذا الصباح.	الطريق زحمة هالصبح.	The road is crowded this morning.
09	سأتصل بك لاحقا.	بأتصل فيك بعدين.	I will call you later.
10	أين توجد أقرب صيدلية؟	وين أقرب صيدلية؟	Where is the nearest pharmacy?
11	هذا البرنامج لا يعمل.	هذا البرنامج ما يشتغل.	This program does not work.
12	أحتاج إلى نسخة من الشهادة.	أبغى نسخة من الشهادة.	I need a copy of the certificate.
13	متى ينتهي الدوام؟	متى يخلص الدوام؟	When does the working day end?
14	لا أعرف كيف أستخدم هذا التطبيق.	ما أدري كيف أستخدم هالتطبيق.	I do not know how to use this application.
15	الجو حار جدا اليوم.	الجو حار مرة اليوم.	The weather is very hot today.
16	سجلت في الدورة التدريبية أمس.	سجلت في الدورة التدريبية أمس.	I registered for the training course yesterday.
17	أرسل لي الملف على البريد الإلكتروني.	أرسل لي الملف على الإيميل.	Send me the file by email.
18	هل حجزت الموعد؟	حجزت الموعد؟	Did you book the appointment?
19	تأخرت الحافلة عشرين دقيقة.	الباص تأخر عشرين دقيقة.	The bus was twenty minutes late.
20	سنراجع النتائج غدا.	بنراجع النتائج بكرة.	We will review the results tomorrow.
21	كلمة المرور غير صحيحة.	كلمة السر غلط.	The password is incorrect.
22	أين قاعة المحاضرات؟	وين قاعة المحاضرات؟	Where is the lecture hall?
23	لم يصل الطلب بعد.	الطلب ما وصل لين الحين.	The order has not arrived yet.
24	أحتاج إلى استراحة قصيرة.	أبغى أستريح شوي.	I need a short break.
25	كيف أحول المبلغ إلى حسابه؟	كيف أحول المبلغ لحسابه؟	How do I transfer the amount to his account?
26	سيستغرق المشروع ثلاثة أشهر.	المشروع بياخذ ثلاثة أشهر.	The project will take three months.
27	أرجو تأكيد الحضور.	أكد لي الحضور لو سمحت.	Please confirm your attendance.
28	هذه البيانات غير مكتملة.	هالبيانات ناقصة.	This data is incomplete.
29	سأشرح لكم الفكرة مرة أخرى.	بشرح لكم الفكرة مرة ثانية.	I will explain the idea to you again.
30	هل لديك سؤال؟	عندك سؤال؟	Do you have a question?
31	لم أستلم رسالة التأكيد.	ما وصلتني رسالة التأكيد.	I did not receive the confirmation message.
32	سنجتمع في القاعة الكبرى.	بنجتمع في القاعة الكبيرة.	We will meet in the main hall.
33	الملف كبير جدا ولا يمكن إرساله.	الملف كبير وما يرسل.	The file is too large and cannot be sent.
34	متى تبدأ فترة التسجيل؟	متى يبدأ التسجيل؟	When does the registration period start?
35	أحضرت جميع المستندات المطلوبة.	جبت كل الأوراق المطلوبة.	I brought all the required documents.
36	الشبكة بطيئة في هذا المبنى.	النت بطيء في هالمبنى.	The network is slow in this building.
37	سأراجع الكود قبل التسليم.	بأراجع الكود قبل التسليم.	I will review the code before submission.
38	هل شرحت الفكرة بوضوح؟	شرحت الفكرة زين؟	Did I explain the idea clearly?
39	تحتاج النتائج إلى مراجعة دقيقة.	النتائج تبي مراجعة دقيقة.	The results need a careful review.
40	لا يوجد اتصال بالخادم.	ما فيه اتصال بالسيرفر.	There is no connection to the server.
