item_id,judge,presentation_order,pass,score_first,score_second
Q001,judge_A,AB,1,4,3
Q001,judge_A,AB,2,4,3
Q001,judge_A,BA,1,4,4
Q001,judge_A,BA,2,4,4
Q002,judge_A,AB,1,4,3
Q002,judge_A,AB,2,4,3
Q002,judge_A,BA,1,4,3
Q002,judge_A,BA,2,4,3
Q003,judge_A,AB,1,4,3
Q003,judge_A,AB,2,4,3
Q003,judge_A,BA,1,4,3
Q003,judge_A,BA,2,4,3
Q004,judge_A,AB,1,5,2
Q004,judge_A,AB,2,4,3
Q004,judge_A,BA,1,4,4
Q004,judge_A,BA,2,3,4
Q005,judge_A,AB,1,4,4
Q005,judge_A,AB,2,4,4
Q005,judge_A,BA,1,5,4
Q005,judge_A,BA,2,5,4
Q006,judge_A,AB,1,4,3
Q006,judge_A,AB,2,3,3
Q006,judge_A,BA,1,3,3
Q006,judge_A,BA,2,3,3
Q007,judge_A,AB,1,5,5
Q007,judge_A,AB,2,5,5
Q007,judge_A,BA,1,5,4
Q007,judge_A,BA,2,5,4
Q008,judge_A,AB,1,5,2
Q008,judge_A,AB,2,5,3
Q008,judge_A,BA,1,3,5
Q008,judge_A,BA,2,3,4
Q009,judge_A,AB,1,4,1
Q009,judge_A,AB,2,4,1
Q009,judge_A,BA,1,2,3
Q009,judge_A,BA,2,2,3
Q010,judge_A,AB,1,5,3
Q010,judge_A,AB,2,5,3
Q010,judge_A,BA,1,4,4
Q010,judge_A,BA,2,4,5
Q011,judge_A,AB,1,2,3
Q011,judge_A,AB,2,2,3
Q011,judge_A,BA,1,3,2
Q011,judge_A,BA,2,4,2
Q012,judge_A,AB,1,5,4
Q012,judge_A,AB,2,5,4
Q012,judge_A,BA,1,4,4
Q012,judge_A,BA,2,4,4
Q013,judge_A,AB,1,3,5
Q013,judge_A,AB,2,3,5
Q013,judge_A,BA,1,5,2
Q013,judge_A,BA,2,5,3
Q014,judge_A,AB,1,5,3
Q014,judge_A,AB,2,5,3
Q014,judge_A,BA,1,4,4
Q014,judge_A,BA,2,4,4
Q015,judge_A,AB,1,3,1
Q015,judge_A,AB,2,3,1
Q015,judge_A,BA,1,2,2
Q015,judge_A,BA,2,2,2
Q016,judge_A,AB,1,3,2
Q016,judge_A,AB,2,3,2
Q016,judge_A,BA,1,2,3
Q016,judge_A,BA,2,3,3
Q017,judge_A,AB,1,5,3
Q017,judge_A,AB,2,5,3
Q017,judge_A,BA,1,4,5
Q017,judge_A,BA,2,3,5
Q018,judge_A,AB,1,4,3
Q018,judge_A,AB,2,4,3
Q018,judge_A,BA,1,4,3
Q018,judge_A,BA,2,4,3
Q019,judge_A,AB,1,5,4
Q019,judge_A,AB,2,5,4
Q019,judge_A,BA,1,4,4
Q019,judge_A,BA,2,4,4
Q020,judge_A,AB,1,3,3
Q020,judge_A,AB,2,3,3
Q020,judge_A,BA,1,4,3
Q020,judge_A,BA,2,4,3
Q021,judge_A,AB,1,4,1
Q021,judge_A,AB,2,4,1
Q021,judge_A,BA,1,2,3
Q021,judge_A,BA,2,2,3
Q022,judge_A,AB,1,5,3
Q022,judge_A,AB,2,5,4
Q022,judge_A,BA,1,4,5
Q022,judge_A,BA,2,4,5
Q023,judge_A,AB,1,4,5
Q023,judge_A,AB,2,4,5
Q023,judge_A,BA,1,5,3
Q023,judge_A,BA,2,5,3
Q024,judge_A,AB,1,5,1
Q024,judge_A,AB,2,5,1
Q024,judge_A,BA,1,2,4
Q024,judge_A,BA,2,2,4
Q025,judge_A,AB,1,4,4
Q025,judge_A,AB,2,4,4
Q025,judge_A,BA,1,4,4
Q025,judge_A,BA,2,4,4
Q026,judge_A,AB,1,5,4
Q026,judge_A,AB,2,5,4
Q026,judge_A,BA,1,4,4
Q026,judge_A,BA,2,4,4
Q027,judge_A,AB,1,5,2
Q027,judge_A,AB,2,5,2
Q027,judge_A,BA,1,3,5
Q027,judge_A,BA,2,3,4
Q028,judge_A,AB,1,4,3
Q028,judge_A,AB,2,4,3
Q028,judge_A,BA,1,4,4
Q028,judge_A,BA,2,4,4
Q029,judge_A,AB,1,3,4
Q029,judge_A,AB,2,3,4
Q029,judge_A,BA,1,4,2
Q029,judge_A,BA,2,4,2
Q030,judge_A,AB,1,5,5
Q030,judge_A,AB,2,5,5
Q030,judge_A,BA,1,5,5
Q030,judge_A,BA,2,5,5
Q031,judge_A,AB,1,5,4
Q031,judge_A,AB,2,5,4
Q031,judge_A,BA,1,4,5
Q031,judge_A,BA,2,4,4
Q032,judge_A,AB,1,3,1
Q032,judge_A,AB,2,3,2
Q032,judge_A,BA,1,2,2
Q032,judge_A,BA,2,2,2
Q033,judge_A,AB,1,5,5
Q033,judge_A,AB,2,5,5
Q033,judge_A,BA,1,5,4
Q033,judge_A,BA,2,5,4
Q034,judge_A,AB,1,4,4
Q034,judge_A,AB,2,4,3
