item_id,latent_quality_r1,latent_quality_r2,true_preference,human_label
Q001,3.466,2.936,R1,R1
Q002,2.918,2.986,tie,tie
Q003,2.808,3.015,tie,tie
Q004,3.795,2.464,R1,R1
Q005,3.58,4.118,R2,R2
Q006,2.714,2.355,R1,R1
Q007,4.062,4.863,R2,R2
Q008,4.289,2.316,R1,R1
Q009,2.757,1.002,R1,R1
Q010,4.247,2.97,R1,R1
Q011,1.753,2.722,R2,R2
Q012,3.917,3.654,R1,R1
Q013,2.371,4.753,R2,R2
Q014,3.931,2.88,R1,R1
Q015,1.922,1.0,R1,R2
Q016,2.502,1.742,R1,R2
Q017,4.358,2.668,R1,R2
Q018,3.085,3.001,tie,tie
Q019,3.975,3.746,tie,tie
Q020,2.457,3.056,R2,R2
Q021,2.959,1.0,R1,R2
Q022,4.359,3.271,R1,R1
Q023,3.135,5.0,R2,R2
Q024,3.872,1.0,R1,R1
Q025,3.5,3.134,R1,R1
Q026,3.75,3.295,R1,R1
Q027,3.972,2.068,R1,R1
Q028,3.38,2.976,R1,R1
Q029,2.314,3.206,R2,R2
Q030,4.449,4.858,R2,R2
Q031,4.194,3.367,R1,R1
Q032,1.695,1.0,R1,R2
Q033,3.971,4.45,R2,R2
Q034,2.816,3.153,R2,R2
Q035,1.811,1.0,R1,R1
Q036,1.558,1.502,tie,tie
Q037,3.468,4.085,R2,R2
Q038,2.789,2.074,R1,R1
Q039,2.943,2.967,tie,tie
Q040,2.953,4.528,R2,R2
Q041,1.676,2.949,R2,R2
Q042,3.422,3.862,R2,R2
Q043,3.264,4.886,R2,R2
Q044,3.88,1.0,R1,R2
Q045,2.211,1.231,R1,R1
Q046,3.19,1.216,R1,R1
Q047,2.923,3.984,R2,R2
Q048,1.72,2.597,R2,R2
Q049,3.887,4.748,R2,R2
Q050,4.073,1.453,R1,R1
Q051,2.766,2.59,tie,tie
Q052,1.732,2.253,R2,R2
Q053,2.678,1.41,R1,R1
Q054,3.619,4.492,R2,R2
Q055,2.379,1.679,R1,R2
Q056,3.07,3.502,R2,R2
Q057,1.643,1.0,R1,R1
Q058,1.58,1.0,R1,R1
Q059,3.43,2.507,R1,R1
Q060,2.261,1.0,R1,R1
Q061,4.206,3.461,R1,R1
Q062,3.358,4.199,R2,R2
Q063,2.657,1.941,R1,R1
Q064,2.311,1.0,R1,R1
Q065,1.9,1.981,tie,tie
Q066,4.177,2.807,R1,R1
Q067,4.495,2.951,R1,R1
Q068,3.788,5.0,R2,R2
Q069,3.928,1.0,R1,R2
Q070,3.418,4.441,R2,R1
Q071,2.183,1.659,R1,R1
Q072,3.873,5.0,R2,R2
Q073,4.225,5.0,R2,R2
Q074,3.952,2.211,R1,R1
Q075,2.898,2.65,tie,tie
Q076,3.72,1.0,R1,R1
Q077,4.119,3.944,tie,tie
Q078,4.339,3.006,R1,R1
Q079,2.091,1.0,R1,R1
Q080,3.535,1.961,R1,R1
Q081,2.883,5.0,R2,R2
Q082,3.072,3.958,R2,R2
Q083,2.869,4.643,R2,R2
Q084,2.311,3.919,R2,R1
Q085,2.281,1.0,R1,R1
Q086,2.309,2.381,tie,tie
Q087,3.195,3.598,R2,R2
Q088,4.404,2.527,R1,R2
Q089,4.199,4.436,tie,tie
Q090,3.732,4.472,R2,R1
Q091,3.837,3.87,tie,tie
Q092,2.009,1.112,R1,R1
Q093,3.707,2.932,R1,R1
Q094,2.536,1.0,R1,R1
Q095,3.009,1.101,R1,R1
Q096,2.394,4.852,R2,R2
Q097,1.517,1.0,R1,R1
Q098,3.88,4.192,R2,R1
Q099,4.352,5.0,R2,R2
Q100,1.639,1.0,R1,R1
Q101,2.659,1.0,R1,R1
Q102,3.074,1.217,R1,R1
Q103,4.242,5.0,R2,R2
Q104,2.987,3.359,R2,R1
Q105,2.32,1.805,R1,R1
Q106,3.238,2.156,R1,R1
Q107,4.271,4.059,tie,tie
Q108,3.651,3.789,tie,tie
Q109,2.163,1.138,R1,R1
Q110,4.331,2.618,R1,R1
Q111,3.688,3.169,R1,R1
Q112,2.656,1.0,R1,R1
Q113,4.059,4.449,R2,R1
Q114,3.021,1.0,R1,R2
Q115,1.998,1.898,tie,tie
Q116,3.714,3.556,tie,tie
Q117,1.78,1.0,R1,R1
Q118,2.305,1.0,R1,R1
Q119,3.197,3.22,tie,tie
Q120,3.942,3.941,tie,tie
